RMSE,MAE
4.616285363722136,3.360443055444118
target_close_nextday_actual,target_close_nextday_predict
259.5,259.65192738699324
253.0,258.04213217082014
239.0,253.05592637736018
240.0,239.3975995972086
238.5,241.36792119768643
232.5,239.8190327683437
236.5,233.2703104671433
239.5,237.72769451946752
245.0,241.34219641778876
246.5,246.39882338010156
246.0,247.77610831631307
243.0,247.82172965705965
240.0,244.56000236952968
241.5,241.78105050179667
250.0,243.3670752404504
247.0,251.34253244591824
249.5,248.78496753799024
250.5,251.71810446823451
254.0,251.97894169645477
259.0,255.86317198233056
257.0,259.8042883952869
255.0,258.104847877723
255.0,256.63683571695645
255.0,255.57100111837116
253.0,255.58739690338956
252.5,254.092864157553
251.5,253.41045281360348
245.0,252.11655593252792
243.5,246.58595171930293
251.0,245.70878158385784
245.0,251.21388675965935
244.0,245.80896602472558
246.5,245.95128571927899
244.0,246.73803599411798
245.0,244.53543940105516
245.5,245.42266866505184
248.0,247.4700565982012
245.0,248.94388030254748
244.5,246.2702604897583
243.5,245.61912633195286
238.0,244.6857067145112
238.0,240.6113087705189
244.5,240.60775901970044
229.0,245.73229013090182
226.5,232.3768534089549
227.0,228.92686907964767
225.0,229.23914791371882
222.0,227.07183421156327
223.5,224.90523798417038
227.0,225.64114181323137

